epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,37576.1,0.3632,0.14671,0.00116,0.99342,0.99264,0.99461,0.97344,0.24493,0.0906,0.00119,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,37935.5,0.36489,0.14828,0.00117,0.99326,0.99158,0.99463,0.97345,0.24469,0.09125,0.00119,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,38294.9,0.3673,0.15104,0.00118,0.99332,0.9918,0.99465,0.97348,0.24425,0.09003,0.00118,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,38654.5,0.36877,0.14986,0.00119,0.99299,0.99301,0.99464,0.97349,0.24415,0.09012,0.00118,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,39026.3,0.36526,0.15335,0.00117,0.99229,0.99264,0.99462,0.9733,0.24417,0.09066,0.00118,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,39386.3,0.36516,0.14852,0.00116,0.99319,0.99126,0.9946,0.97321,0.24402,0.09127,0.00118,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,39746.2,0.36275,0.15013,0.00118,0.99088,0.99213,0.99457,0.97311,0.24413,0.0937,0.00118,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,40104.6,0.36216,0.1494,0.00119,0.99032,0.99311,0.99459,0.97319,0.24408,0.0924,0.00118,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,40473.1,0.36075,0.14538,0.00116,0.99211,0.99236,0.9946,0.97318,0.24376,0.09205,0.00118,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,40838.4,0.3692,0.15028,0.00118,0.99321,0.99152,0.99461,0.97325,0.24368,0.09135,0.00118,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
